epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3043.29,0.81983,0.78218,1.17908,0.85718,0.68353,0.78715,0.62987,0.81647,0.72323,1.16311,0.005842,0.005842,0.005842
44,3113.81,0.81745,0.78031,1.17918,0.84527,0.68855,0.78982,0.63832,0.80434,0.72889,1.15527,0.005743,0.005743,0.005743
45,3183.86,0.81913,0.78035,1.17974,0.85456,0.69422,0.79858,0.64704,0.81137,0.71056,1.15425,0.005644,0.005644,0.005644
46,3253.81,0.8115,0.76849,1.17551,0.84846,0.69765,0.79629,0.64543,0.81161,0.72082,1.15446,0.005545,0.005545,0.005545
47,3323.68,0.81186,0.77364,1.17071,0.85219,0.68731,0.79049,0.64202,0.8102,0.73666,1.15588,0.005446,0.005446,0.005446
48,3394.06,0.81311,0.76883,1.17299,0.84401,0.71219,0.80235,0.64561,0.80628,0.71278,1.15258,0.005347,0.005347,0.005347
49,3464.01,0.80442,0.75735,1.16911,0.88064,0.69299,0.80902,0.65542,0.79058,0.68562,1.1377,0.005248,0.005248,0.005248
50,3534.53,0.80419,0.75504,1.16835,0.87067,0.69698,0.80812,0.65792,0.7836,0.69002,1.141,0.005149,0.005149,0.005149
51,3605.4,0.79419,0.73944,1.16339,0.87408,0.6902,0.80209,0.65334,0.79346,0.71271,1.1442,0.00505,0.00505,0.00505
52,3675.57,0.79508,0.73929,1.1672,0.84304,0.72288,0.81376,0.6612,0.78302,0.67072,1.13708,0.004951,0.004951,0.004951
53,3746.38,0.8002,0.74825,1.16492,0.86678,0.70103,0.81126,0.66143,0.7813,0.67941,1.13418,0.004852,0.004852,0.004852
54,3817.71,0.79477,0.73281,1.16085,0.87328,0.70899,0.81442,0.66431,0.77673,0.65917,1.125,0.004753,0.004753,0.004753
55,3887.63,0.78309,0.72621,1.15493,0.85737,0.71837,0.81058,0.66039,0.78014,0.67977,1.13126,0.004654,0.004654,0.004654
56,3958.88,0.79626,0.72651,1.16075,0.85328,0.72866,0.82031,0.66613,0.77692,0.65908,1.12685,0.004555,0.004555,0.004555
57,4029.59,0.77792,0.71683,1.1501,0.88029,0.71094,0.81986,0.67013,0.76703,0.64995,1.11782,0.004456,0.004456,0.004456
58,4099.49,0.76696,0.71169,1.14827,0.85321,0.72412,0.81378,0.66441,0.77722,0.66942,1.13278,0.004357,0.004357,0.004357
59,4169.18,0.76924,0.70383,1.14497,0.8624,0.71568,0.81173,0.66613,0.76894,0.66219,1.12537,0.004258,0.004258,0.004258
60,4238.86,0.77858,0.70449,1.15238,0.85846,0.72681,0.82002,0.66896,0.76925,0.65199,1.12476,0.004159,0.004159,0.004159
61,4309.5,0.76795,0.6902,1.14182,0.8748,0.72041,0.82361,0.67465,0.76029,0.64528,1.12218,0.00406,0.00406,0.00406
62,4379.92,0.76111,0.68206,1.14081,0.87229,0.72213,0.83127,0.6785,0.76082,0.63019,1.11638,0.003961,0.003961,0.003961
63,4450.2,0.77087,0.6886,1.144,0.871,0.72919,0.82403,0.67631,0.76478,0.63555,1.12067,0.003862,0.003862,0.003862
64,4520.7,0.75619,0.6795,1.13953,0.89387,0.71143,0.83048,0.67604,0.76698,0.62658,1.1163,0.003763,0.003763,0.003763
65,4590.46,0.75388,0.67999,1.13628,0.86609,0.73294,0.83137,0.6786,0.75747,0.63549,1.11559,0.003664,0.003664,0.003664
66,4661.33,0.75416,0.66834,1.13344,0.87869,0.72987,0.83102,0.68118,0.74835,0.62673,1.10287,0.003565,0.003565,0.003565
67,4731.14,0.75359,0.66986,1.13373,0.87525,0.74018,0.83166,0.67979,0.75666,0.62188,1.11224,0.003466,0.003466,0.003466
68,4801.41,0.75877,0.667,1.13351,0.8785,0.73284,0.82773,0.67983,0.75676,0.63102,1.11088,0.003367,0.003367,0.003367
69,4871.41,0.75312,0.66512,1.1341,0.89059,0.7291,0.83212,0.68442,0.74955,0.61927,1.10712,0.003268,0.003268,0.003268
70,4941.47,0.74505,0.65675,1.12932,0.87049,0.73805,0.82868,0.68498,0.74717,0.62188,1.1094,0.003169,0.003169,0.003169
71,5011.31,0.74472,0.6512,1.12874,0.89478,0.73476,0.83636,0.68859,0.74633,0.62056,1.10525,0.00307,0.00307,0.00307
72,5082.03,0.73525,0.64635,1.12099,0.88881,0.74783,0.83985,0.69276,0.7418,0.60041,1.10228,0.002971,0.002971,0.002971
73,5153.58,0.73177,0.63468,1.11662,0.87768,0.74236,0.84028,0.69281,0.74074,0.60175,1.09992,0.002872,0.002872,0.002872
74,5224.06,0.7256,0.63201,1.11815,0.87625,0.74854,0.83872,0.69226,0.74001,0.59946,1.09714,0.002773,0.002773,0.002773
75,5295.75,0.73018,0.63349,1.11742,0.89822,0.73679,0.84048,0.69717,0.73349,0.59633,1.0956,0.002674,0.002674,0.002674
76,5365.11,0.73202,0.63134,1.11649,0.87309,0.74512,0.8371,0.6942,0.73358,0.59831,1.09381,0.002575,0.002575,0.002575
77,5435.38,0.71861,0.6222,1.11382,0.88549,0.74425,0.83672,0.69343,0.7328,0.60589,1.0936,0.002476,0.002476,0.002476
78,5505.81,0.71762,0.61686,1.11053,0.89368,0.73979,0.83703,0.69476,0.73236,0.60445,1.09586,0.002377,0.002377,0.002377
79,5575.65,0.71825,0.61556,1.11129,0.8917,0.74007,0.83853,0.69635,0.73373,0.60098,1.09925,0.002278,0.002278,0.002278
80,5646.04,0.71553,0.61003,1.10876,0.87766,0.75097,0.84145,0.69698,0.72904,0.59409,1.09314,0.002179,0.002179,0.002179
81,5716.43,0.70877,0.60211,1.10527,0.88113,0.74888,0.84578,0.69953,0.73003,0.5868,1.09364,0.00208,0.00208,0.00208
82,5786.52,0.71064,0.6041,1.10592,0.88402,0.74702,0.84302,0.6974,0.72879,0.58446,1.09105,0.001981,0.001981,0.001981
83,5856.93,0.70242,0.59324,1.1017,0.88448,0.75457,0.84536,0.69993,0.72806,0.57987,1.08975,0.001882,0.001882,0.001882
84,5929,0.70476,0.59502,1.1054,0.88704,0.75153,0.84298,0.70039,0.72615,0.58632,1.08962,0.001783,0.001783,0.001783
85,5999.84,0.69589,0.5884,1.09782,0.88052,0.75939,0.84596,0.70256,0.72532,0.58137,1.08973,0.001684,0.001684,0.001684
86,6069.13,0.69759,0.58708,1.10032,0.88895,0.76356,0.85045,0.70637,0.72516,0.57504,1.08972,0.001585,0.001585,0.001585
87,6139.77,0.69148,0.57501,1.09705,0.88558,0.76473,0.85025,0.7058,0.72453,0.57227,1.09025,0.001486,0.001486,0.001486
88,6210.23,0.6915,0.5732,1.09512,0.89541,0.75326,0.84837,0.70596,0.72339,0.57425,1.08797,0.001387,0.001387,0.001387
89,6281.31,0.6888,0.57086,1.0943,0.89355,0.75487,0.84761,0.70669,0.72224,0.57544,1.08749,0.001288,0.001288,0.001288
90,6352.35,0.68481,0.57583,1.09315,0.88998,0.76287,0.84768,0.7064,0.72031,0.5765,1.08527,0.001189,0.001189,0.001189
91,6426.51,0.62437,0.47364,1.05461,0.89263,0.75714,0.84818,0.70778,0.71795,0.57369,1.08448,0.00109,0.00109,0.00109
92,6493.38,0.60784,0.44894,1.04503,0.90506,0.74965,0.85123,0.70911,0.7169,0.56551,1.08331,0.000991,0.000991,0.000991
93,6560.31,0.59142,0.43356,1.03636,0.894,0.76027,0.85047,0.70895,0.71492,0.56738,1.08237,0.000892,0.000892,0.000892
94,6627.81,0.58993,0.42938,1.03267,0.90255,0.75417,0.85088,0.70961,0.71388,0.56564,1.08162,0.000793,0.000793,0.000793
95,6695.92,0.58216,0.43241,1.03283,0.88774,0.7659,0.8515,0.71078,0.7126,0.56253,1.08172,0.000694,0.000694,0.000694
96,6763.61,0.5812,0.41908,1.02727,0.88499,0.76212,0.85121,0.71044,0.71106,0.56155,1.08143,0.000595,0.000595,0.000595
97,6830.39,0.5709,0.41348,1.02288,0.87861,0.76859,0.85201,0.71092,0.7101,0.55948,1.08098,0.000496,0.000496,0.000496
98,6897.84,0.56893,0.40741,1.01832,0.89045,0.76298,0.8522,0.71178,0.7088,0.55822,1.08052,0.000397,0.000397,0.000397
99,6964.59,0.56564,0.40095,1.0161,0.89446,0.76241,0.85209,0.71259,0.70934,0.55863,1.08197,0.000298,0.000298,0.000298
100,7031.59,0.55901,0.39844,1.01595,0.88773,0.76591,0.85346,0.71248,0.70997,0.55844,1.08299,0.000199,0.000199,0.000199
